domain_model,mse_loss

polynomial function:

oos_polymodel,0.009809634648263454
ins_polymodel,2.0059629605384544e-05
oos_standardmodel,19.543621063232422
ins_standardmodel,0.19094140827655792
oos_powerseries,11354.8076171875
ins_powerseries,6.586615199921653e-05

sine function:

oos_polymodel,0.781787097454071
ins_polymodel,0.00013376945571508259
oos_standardmodel,0.6008118391036987
ins_standardmodel,0.027385955676436424
oos_powerseries,13600.7451171875
ins_powerseries,7.888019899837673e-05

cosine function:

oos_polymodel,1.4619041681289673
ins_polymodel,0.0014466674765571952
oos_standardmodel,0.08663196861743927
ins_standardmodel,0.0008933850331231952
oos_powerseries,4750.611328125
ins_powerseries,2.7556030545383692e-05

exp function:

oos_polymodel,23.678943634033203
ins_polymodel,151.32643127441406
oos_standardmodel,139.37681579589844
ins_standardmodel,163.8916778564453
oos_powerseries,81507.546875
ins_powerseries,151.60813903808594

log function:

oos_polymodel,0.09136956185102463
ins_polymodel,7.981542148627341e-05
oos_standardmodel,0.2524782121181488
ins_standardmodel,0.0005580144934356213
oos_powerseries,4501.279296875
ins_powerseries,2.5872923288261518e-05
